id,book name,author,rating,reviews count,form,price,reading age,print length,publishing date,genre,log_reviews,year,month
1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,145747,Hardcover,18.88,,320.0,2018-10-16,Self-Improvement,11.88963438199166,2018.0,10.0
2,"Iron Flame (Standard Edition) (The Empyrean, 2)",Rebecca Yarros,4.7,395512,Hardcover,11.05,,640.0,2023-11-07,Fiction & Action & Adventure,12.887938935434729,2023.0,11.0
3,Spare,Prince Harry  The Duke of Sussex,4.5,116101,Hardcover,11.99,,416.0,2023-01-10,Biographies & Memoirs,11.662224394066463,2023.0,1.0
4,Fourth Wing,Rebecca Yarros,4.8,472618,Paperback,13.62,,544.0,2024-09-17,Fiction & Action & Adventure,13.066044846058432,2024.0,9.0
5,The Woman in Me,Britney Spears,4.4,51520,Hardcover,11.37,,288.0,2023-10-24,Biographies & Memoirs,10.849744770527753,2023.0,10.0
6,Lessons in Chemistry: A Novel,Bonnie Garmus,4.6,322650,Hardcover,13.94,,400.0,2022-04-05,Fiction & Action & Adventure,12.684326522692826,2022.0,4.0
7,The 48 Laws of Power,Robert Greene,4.7,87375,Paperback,13.99,,452.0,2000-09-01,Politics & Social Sciences,11.377975924391935,2000.0,9.0
8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,82564,Paperback,14.39,18 years and up,464.0,2015-09-08,Health & Fitness & Dieting,11.321341140897088,2015.0,9.0
9,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,4.5,228242,Paperback,1.88,,336.0,2022-10-18,Fiction & Action & Adventure,12.338166129859884,2022.0,10.0
10,Outlive: The Science and Art of Longevity,Peter Attia MD,4.6,19946,Hardcover,18.0,,496.0,2023-03-28,Health & Fitness & Dieting,9.900834035070565,2023.0,3.0
11,It Ends with Us: A Novel,Colleen Hoover,4.7,405311,Paperback,9.03,,384.0,2016-08-02,Fiction & Action & Adventure,12.912412419876102,2016.0,8.0
12,The Housemaid,Freida McFadden,4.5,653111,Paperback,9.69,,336.0,2022-08-23,Mystery & Thriller & Suspense,13.389503909631,2022.0,8.0
