id,book name,author,rating,reviews count,price,reading age,print length,publishing date,genre,log_reviews,year,month,publishing_date,year_published,month_published,quarter_published,days_since_published,is_recent,author_avg_reviews,author_median_reviews,author_book_count,author_reviews_std,author_avg_rating,genre_avg_reviews,genre_median_reviews,genre_book_count,price_per_page,is_expensive,rating_normalized,high_rating,rating_price_interaction,author_genre_popularity,format_Board book,format_Cards,format_Hardcover,format_Paperback,price_cat_Budget,price_cat_Standard,price_cat_Premium,price_cat_Luxury
1,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,145747,18.88,,320.0,2018-10-16,Self-Improvement,11.88963438199166,2018.0,10.0,2018-10-16,2018.0,10.0,4.0,2722.0,0,145747.0,145747.0,1,,4.8,94997.38,107107.5,8,0.059,1,0.8749999999999994,1,90.624,13845583142.86,False,False,True,False,False,False,True,False
2,"Iron Flame (Standard Edition) (The Empyrean, 2)",Rebecca Yarros,4.7,395512,11.05,,640.0,2023-11-07,Fiction & Action & Adventure,12.887938935434729,2023.0,11.0,2023-11-07,2023.0,11.0,4.0,874.0,0,291052.67,395512.0,3,250686.89,4.7,199796.88,165631.0,33,0.017265625,1,0.75,1,51.935,58151415381.6696,False,False,True,False,False,True,False,False
3,Spare,Prince Harry  The Duke of Sussex,4.5,116101,11.99,,416.0,2023-01-10,Biographies & Memoirs,11.662224394066463,2023.0,1.0,2023-01-10,2023.0,1.0,1.0,1175.0,0,116101.0,116101.0,1,,4.5,54823.57,39574.0,7,0.028822115384615384,1,0.5,1,53.955,6365071300.57,False,False,True,False,False,True,False,False
4,Fourth Wing,Rebecca Yarros,4.8,472618,13.62,,544.0,2024-09-17,Fiction & Action & Adventure,13.066044846058432,2024.0,9.0,2024-09-17,2024.0,9.0,3.0,559.0,0,291052.67,395512.0,3,250686.89,4.7,199796.88,165631.0,33,0.025036764705882352,1,0.8749999999999994,1,65.37599999999999,58151415381.6696,False,False,False,True,False,True,False,False
5,The Woman in Me,Britney Spears,4.4,51520,11.37,,288.0,2023-10-24,Biographies & Memoirs,10.849744770527753,2023.0,10.0,2023-10-24,2023.0,10.0,4.0,888.0,0,51520.0,51520.0,1,,4.4,54823.57,39574.0,7,0.03947916666666666,1,0.37500000000000056,0,50.028,2824510326.4,False,False,True,False,False,True,False,False
6,Lessons in Chemistry: A Novel,Bonnie Garmus,4.6,322650,13.94,,400.0,2022-04-05,Fiction & Action & Adventure,12.684326522692826,2022.0,4.0,2022-04-05,2022.0,4.0,2.0,1455.0,0,322650.0,322650.0,1,,4.6,199796.88,165631.0,33,0.03485,1,0.6249999999999994,1,64.124,64464463332.0,False,False,True,False,False,True,False,False
7,The 48 Laws of Power,Robert Greene,4.7,87375,13.99,,452.0,2000-09-01,Politics & Social Sciences,11.377975924391935,2000.0,9.0,2000-09-01,2000.0,9.0,3.0,9341.0,0,87375.0,87375.0,1,,4.7,48087.25,49611.5,4,0.030951327433628318,1,0.75,1,65.753,4201623468.75,False,False,False,True,False,True,False,False
8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,82564,14.39,18 years and up,464.0,2015-09-08,Health & Fitness & Dieting,11.321341140897088,2015.0,9.0,2015-09-08,2015.0,9.0,3.0,3856.0,0,82564.0,82564.0,1,,4.8,26316.33,15375.5,6,0.03101293103448276,1,0.8749999999999994,1,69.072,2172781470.1200004,False,False,False,True,False,True,False,False
9,It Starts with Us: A Novel (It Ends with Us),Colleen Hoover,4.5,228242,1.88,,336.0,2022-10-18,Fiction & Action & Adventure,12.338166129859884,2022.0,10.0,2022-10-18,2022.0,10.0,4.0,1259.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.005595238095238095,0,0.5,1,8.459999999999999,63548035002.816,False,False,False,True,True,False,False,False
10,Outlive: The Science and Art of Longevity,Peter Attia MD,4.6,19946,18.0,,496.0,2023-03-28,Health & Fitness & Dieting,9.900834035070565,2023.0,3.0,2023-03-28,2023.0,3.0,1.0,1098.0,0,19946.0,19946.0,1,,4.6,26316.33,15375.5,6,0.036290322580645164,1,0.6249999999999994,1,82.8,524905518.18,False,False,True,False,False,False,True,False
11,It Ends with Us: A Novel,Colleen Hoover,4.7,405311,9.03,,384.0,2016-08-02,Fiction & Action & Adventure,12.912412419876102,2016.0,8.0,2016-08-02,2016.0,8.0,3.0,3527.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.023515625,0,0.75,1,42.440999999999995,63548035002.816,False,False,False,True,True,False,False,False
12,The Housemaid,Freida McFadden,4.5,653111,9.69,,336.0,2022-08-23,Mystery & Thriller & Suspense,13.389503909631,2022.0,8.0,2022-08-23,2022.0,8.0,3.0,1315.0,0,653111.0,653111.0,1,,4.5,243347.0,146289.5,6,0.028839285714285713,0,0.5,1,43.605,158932602517.0,False,False,False,True,True,False,False,False
13,The Very Hungry Caterpillar,Eric Carle,4.9,78436,5.75,1 - 2 years,26.0,1994-03-23,Reading & Writing,11.270051033785931,1994.0,3.0,1994-03-23,1994.0,3.0,1.0,11695.0,0,78436.0,78436.0,1,,4.9,49575.33,47458.0,18,0.22115384615384615,0,1.0,1,28.175,3888490583.88,True,False,False,False,True,False,False,False
14,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,4.4,80996,9.99,,416.0,2018-04-03,Politics & Social Sciences,11.30216739593165,2018.0,4.0,2018-04-03,2018.0,4.0,2.0,2918.0,0,60285.0,60285.0,2,29289.78,4.4,48087.25,49611.5,4,0.02401442307692308,0,0.37500000000000056,0,43.956,2898939866.25,False,False,False,True,True,False,False,False
15,Verity,Colleen Hoover,4.6,443390,12.09,,336.0,2021-10-26,Fiction & Action & Adventure,13.002207278258753,2021.0,10.0,2021-10-26,2021.0,10.0,4.0,1616.0,0,318063.2,347742.0,5,117795.63,4.62,199796.88,165631.0,33,0.03598214285714286,1,0.6249999999999994,1,55.614,63548035002.816,False,False,False,True,False,True,False,False
16,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6,270507,6.91,,400.0,2018-05-29,Fiction & Action & Adventure,12.508056951692714,2018.0,5.0,2018-05-29,2018.0,5.0,2.0,2862.0,0,183111.0,183111.0,2,123596.61,4.5,199796.88,165631.0,33,0.017275,0,0.6249999999999994,1,31.785999999999998,36585006493.68,False,False,False,True,True,False,False,False
